Rk,Player Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,John Wall,27,37,37,34.3,6.8,16.3,0.417,1.4,4,0.358,5.4,12.3,0.436,0.461,4.3,6,0.719,0.5,3,3.6,9.3,1.3,1.1,3.6,1.9,19.4
2,Bradley Beal,24,65,65,36.7,8.6,18.7,0.461,2.5,6.6,0.379,6.1,12.1,0.506,0.528,3.8,4.7,0.795,0.8,3.8,4.5,4.6,1.2,0.5,2.6,2,23.5
3,Ramon Sessions,31,1,0,13,1,5,0.2,0,1,0,1,4,0.25,0.2,4,4,1,0,0,0,1,1,0,2,0,6
4,Kelly Oubre,22,64,10,27.7,4,9.5,0.417,1.6,4.5,0.361,2.4,5.1,0.466,0.502,2.3,2.7,0.846,0.8,3.8,4.6,1.1,0.9,0.4,1.1,2.9,11.9
5,Marcin Gortat,33,65,65,25.9,3.6,7,0.519,0,0,,3.6,7,0.519,0.519,1.3,2,0.644,2.2,5.6,7.8,1.8,0.5,0.7,1.2,2.1,8.6
6,Otto Porter,24,61,61,32.1,5.9,11.7,0.502,1.8,4.1,0.428,4.1,7.6,0.542,0.577,1.5,1.8,0.836,1.4,5.1,6.5,2.1,1.6,0.5,0.9,2.1,15
7,Ian Mahinmi,31,63,0,14.8,1.7,2.9,0.571,0,0,0,1.7,2.9,0.574,0.571,1.3,1.8,0.712,1.7,2.2,3.9,0.7,0.5,0.6,1.3,3.1,4.6
8,Markieff Morris,28,56,56,26.9,4.4,9.1,0.482,1,2.7,0.382,3.3,6.4,0.525,0.539,1.4,1.6,0.837,1.1,4.8,5.9,1.8,0.8,0.5,1.7,3.1,11.2
9,Jodie Meeks,30,62,0,14.7,1.9,5,0.383,0.8,2.7,0.311,1.1,2.3,0.465,0.466,1.4,1.6,0.869,0.2,1.4,1.6,0.9,0.4,0.1,0.5,0.8,6.1
10,Tomas Satoransky,26,56,17,20.3,2.6,4.8,0.537,0.7,1.4,0.474,1.9,3.4,0.563,0.606,1,1.3,0.753,0.8,1.8,2.6,3.5,0.7,0.2,1,1.6,6.8
11,Mike Scott,29,60,1,18.3,3.6,6.7,0.532,0.9,2.2,0.412,2.7,4.6,0.59,0.599,0.6,0.9,0.685,0.6,2.5,3.1,0.9,0.4,0.2,1.1,2,8.7
12,Jason Smith,31,25,2,8.9,1.2,3.6,0.348,0,0.9,0.043,1.2,2.6,0.455,0.354,0.6,0.7,0.882,0.6,1,1.6,0.5,0.1,0.4,0.5,1.6,3.1
13,Chris McCullough,22,19,0,4.7,0.9,2.2,0.429,0.1,0.4,0.125,0.9,1.8,0.5,0.44,0.5,0.7,0.643,0.4,0.9,1.3,0.2,0,0.3,0.1,0.4,2.4
14,Tim Frazier,27,50,11,15,1.2,3.1,0.4,0.3,1,0.294,0.9,2.1,0.452,0.448,0.4,0.6,0.786,0.3,1.7,2,3.5,0.8,0.1,1.1,1.7,3.2